Rango                      Frecuencia
1                           10.0199530257
2                           7.22505687717
3                           6.30250554046
4                           6.25759282575
5                           6.0727880488
6                           6.02787533408
7                           5.83129017295
8                           3.78003077625
9                           3.44797119696
10                           2.95540388311
11                           2.90607352432
12                           2.17421715666
13                           2.14992011427
14                           2.06745742496
15                           1.86792716777
16                           1.78031056038
17                           1.4681303794
18                           1.44972352911
19                           1.35695300363
20                           1.32602949514
La constante encontrada en De_Zaan_en_Waterland_Een_kijkje_in_Noord_Holland_by_Anonymous.txt es:-0.744063165251
