Rango                      Frecuencia
1                           9.87090504538
2                           8.77643897595
3                           8.66704547265
4                           7.76959391645
5                           6.20675372124
6                           5.2057500624
7                           5.13140496307
8                           4.89509375448
9                           4.53876831412
10                           4.536113132
11                           4.42884377439
12                           2.53782306928
13                           2.47091247989
14                           2.35302239381
15                           2.10449734747
16                           1.72586837731
17                           1.52407453627
18                           1.51610898992
19                           0.923472340968
20                           0.737078556218
La constante encontrada en Maaemon_lapsia_by_Arvid_Järnefelt.txt es:-0.823346876641
