Rango                      Frecuencia
1                           8.40118902916
2                           7.3618716378
3                           7.27233340955
4                           6.59381656698
5                           6.4835786408
6                           6.1576787455
7                           5.9887114438
8                           5.94297955303
9                           4.31035105244
10                           3.73172228708
11                           2.84139458197
12                           2.55352436427
13                           2.35182265654
14                           2.2040364411
15                           2.0502328716
16                           1.79678191905
17                           1.78811692922
18                           1.73227588365
19                           1.45307065577
20                           0.991419253126
La constante encontrada en Rabbi_and_Priest_by_Milton_Goldsmith.txt es:-0.709823689444
