Rango                      Frecuencia
1                           8.73343479578
2                           7.39337622981
3                           7.29580682718
4                           7.02207720635
5                           6.37011407834
6                           6.13920793597
7                           6.12825875114
8                           5.82484467365
9                           4.63296507575
10                           3.68367075071
11                           2.64203830025
12                           2.42573107099
13                           2.35285816304
14                           2.29567908669
15                           2.14178221098
16                           1.76975324187
17                           1.72607816015
18                           1.59468794215
19                           1.29784337556
20                           0.83420622668
La constante encontrada en Uarda_a_Romance_of_Ancient_Egypt.txt es:-0.746785151723
